data,hora,event,valor,duracao




26/6/2026,15:12:35,BOCEJO,0.227172,15
26/6/2026,15:30:55,BOCEJO,0.33284,15
26/6/2026,15:31:2,BOCEJO,0.141788,15
26/6/2026,15:31:11,BOCEJO,0.0562153,15
26/6/2026,15:31:20,BOCEJO,0.0964721,15
26/6/2026,19:59:6,BOCEJO,0.13248,15
26/6/2026,19:59:11,SONOLENCIA,0.211993,20
26/6/2026,19:59:27,BOCEJO,0.0982958,15
26/6/2026,19:59:31,SONOLENCIA,0.185724,20
26/6/2026,19:59:35,BOCEJO,0.122858,15
26/6/2026,19:59:38,SONOLENCIA,0.171914,20
26/6/2026,19:59:43,BOCEJO,0.0793964,15
26/6/2026,19:59:48,SONOLENCIA,0.2075,20
26/6/2026,19:59:49,BOCEJO,0.083668,15
26/6/2026,20:0:40,SONOLENCIA,0.195813,20
26/6/2026,20:15:11,SONOLENCIA,0.222464,20
26/6/2026,20:16:5,SONOLENCIA,0.214581,20
26/6/2026,20:16:13,SONOLENCIA,0.223495,20
26/6/2026,21:36:45,SONOLENCIA,0.21453,20
26/6/2026,21:36:56,SONOLENCIA,0.238941,20
26/6/2026,21:37:14,SONOLENCIA,0.199144,20
26/6/2026,21:37:24,SONOLENCIA,0.224583,20
26/6/2026,21:37:41,SONOLENCIA,0.204515,20
26/6/2026,22:1:11,BOCEJO,0.0361086,15
26/6/2026,22:1:13,SONOLENCIA,0.20768,20
26/6/2026,22:1:20,SONOLENCIA,0.23622,20
26/6/2026,22:1:34,SONOLENCIA,0.193909,20
26/6/2026,22:4:53,BOCEJO,0.0224139,15
26/6/2026,22:4:54,SONOLENCIA,0.208194,20
26/6/2026,22:5:37,SONOLENCIA,0.195064,20
26/6/2026,22:5:42,SONOLENCIA,0.181044,20
26/6/2026,22:5:57,BOCEJO,0.0452611,15
26/6/2026,22:5:57,SONOLENCIA,0.199174,20
26/6/2026,22:6:9,SONOLENCIA,0.200281,20
26/6/2026,22:35:7,SONOLENCIA,0.174059,20
26/6/2026,22:35:24,SONOLENCIA,0.233346,20
26/6/2026,22:35:34,SONOLENCIA,0.208771,20
26/6/2026,22:35:44,SONOLENCIA,0.212496,20
26/6/2026,22:36:9,SONOLENCIA,0.213481,20
26/6/2026,23:36:59,SONOLENCIA,0.241168,20
26/6/2026,23:37:2,BOCEJO,0.115069,15
26/6/2026,23:37:10,BOCEJO,0.0764474,15
26/6/2026,23:37:14,BOCEJO,0.0579617,15
26/6/2026,23:37:18,SONOLENCIA,0.248945,20
26/6/2026,23:37:25,BOCEJO,0.098369,15
26/6/2026,23:37:28,SONOLENCIA,0.245359,20
26/6/2026,23:40:29,SONOLENCIA,0.187063,20
26/6/2026,23:40:40,BOCEJO,0.139298,15
26/6/2026,23:40:52,BOCEJO,0.102839,15
26/6/2026,23:41:7,BOCEJO,0.166153,15
26/6/2026,23:42:8,SONOLENCIA,0.244273,20
26/6/2026,23:42:29,SONOLENCIA,0.192594,20
26/6/2026,23:42:38,BOCEJO,0.0843809,15
26/6/2026,23:42:43,BOCEJO,0.197276,15
26/6/2026,23:42:48,SONOLENCIA,0.236777,20
26/6/2026,23:43:4,BOCEJO,0.113328,15
26/6/2026,23:43:4,SONOLENCIA,0.206942,20
26/6/2026,23:43:7,BOCEJO,0.109382,15
26/6/2026,23:43:21,BOCEJO,0.0814243,15
26/6/2026,23:43:25,SONOLENCIA,0.194519,20
27/6/2026,0:32:30,BOCEJO,0.191123,15
27/6/2026,0:32:42,BOCEJO,0.0579279,15
27/6/2026,0:32:47,BOCEJO,0.0980322,15
27/6/2026,0:32:55,BOCEJO,0.26071,15
27/6/2026,0:32:59,BOCEJO,0.137367,15
27/6/2026,0:33:24,SONOLENCIA,0.153102,20
27/6/2026,0:34:1,BOCEJO,0.126779,15
27/6/2026,0:34:40,SONOLENCIA,0.109773,20
27/6/2026,0:34:44,BOCEJO,0.159255,15
27/6/2026,0:34:50,BOCEJO,0.072176,15
27/6/2026,0:34:50,CABECA_BAIXA,1.26994,15
27/6/2026,0:34:56,BOCEJO,0.162812,15
27/6/2026,0:55:33,BOCEJO,0.0370584,15
27/6/2026,0:55:42,CABECA_BAIXA,1.28936,15
27/6/2026,0:55:52,BOCEJO,0.188843,15
27/6/2026,0:55:57,BOCEJO,0.0822428,15
27/6/2026,0:56:3,BOCEJO,0.0617708,15
27/6/2026,0:56:7,SONOLENCIA,0.149849,20
27/6/2026,0:56:11,BOCEJO,0.0875299,15
27/6/2026,1:2:4,CABECA_BAIXA,1.16327,15
27/6/2026,1:2:20,SONOLENCIA,0.133543,20
27/6/2026,1:2:21,BOCEJO,0.0340524,25
27/6/2026,1:2:33,BOCEJO,0.27496,25
27/6/2026,1:2:35,SONOLENCIA,0.252369,20
27/6/2026,2:56:35,SONOLENCIA,0.129394,20
27/6/2026,2:56:42,BOCEJO,0.0620077,25
27/6/2026,2:56:52,BOCEJO,0.122791,25
27/6/2026,2:56:59,CABECA_BAIXA,1.06608,15
27/6/2026,2:57:2,CABECA_BAIXA,1.39576,15
27/6/2026,2:57:12,BOCEJO,0.162403,25
27/6/2026,2:57:17,SONOLENCIA,0.177749,20
27/6/2026,2:57:18,BOCEJO,0.138427,25
27/6/2026,2:57:26,SONOLENCIA,0.169791,20
27/6/2026,2:57:26,BOCEJO,0.121139,25
27/6/2026,2:57:27,CABECA_BAIXA,1.63539,15
27/6/2026,2:57:33,BOCEJO,0.170928,25
27/6/2026,2:57:34,CABECA_BAIXA,1.41386,15
27/6/2026,2:58:24,SONOLENCIA,0.148345,20
27/6/2026,2:58:24,BOCEJO,0.0304481,25
27/6/2026,2:58:38,BOCEJO,0.0392449,25
27/6/2026,2:58:39,SONOLENCIA,0.154781,20
27/6/2026,2:58:46,SONOLENCIA,0.157633,20
27/6/2026,2:58:54,CABECA_BAIXA,1.73011,15
27/6/2026,2:59:2,CABECA_BAIXA,1.25838,15
27/6/2026,3:3:29,CABECA_BAIXA,1.17936,15
27/6/2026,3:3:36,BOCEJO,0.123218,25
27/6/2026,3:3:43,BOCEJO,0.142973,25
27/6/2026,3:3:51,BOCEJO,0.0963565,25
27/6/2026,3:3:55,BOCEJO,0.0384096,25
27/6/2026,3:4:6,SONOLENCIA,0.147858,20
27/6/2026,3:4:6,BOCEJO,0.0390269,25
27/6/2026,3:4:13,BOCEJO,0.0584686,25
27/6/2026,3:4:15,CABECA_BAIXA,1.12878,15
27/6/2026,3:5:1,SONOLENCIA,0.138111,20
27/6/2026,3:5:9,BOCEJO,0.174554,25
27/6/2026,3:5:28,BOCEJO,0.0965938,25
27/6/2026,3:5:33,CABECA_BAIXA,1.23443,15
27/6/2026,3:5:43,SONOLENCIA,0.205222,20
27/6/2026,3:5:43,CABECA_BAIXA,1.45114,15
27/6/2026,3:6:1,CABECA_BAIXA,1.06578,15
27/6/2026,3:6:20,CABECA_BAIXA,1.67446,15
27/6/2026,3:6:32,CABECA_BAIXA,1.14971,15
27/6/2026,3:6:33,SONOLENCIA,0.175414,20
27/6/2026,3:6:46,SONOLENCIA,0.17245,20
27/6/2026,3:6:46,BOCEJO,0.0384633,25
27/6/2026,3:6:47,CABECA_BAIXA,1.90135,15
27/6/2026,3:6:52,CABECA_BAIXA,1.73917,15
27/6/2026,3:7:18,BOCEJO,0.179868,25
27/6/2026,3:7:28,BOCEJO,0.209459,25
27/6/2026,3:7:33,BOCEJO,0.197524,25
27/6/2026,3:7:51,CABECA_BAIXA,1.10973,15
27/6/2026,3:8:39,CABECA_BAIXA,1.44911,15
27/6/2026,3:8:43,CABECA_BAIXA,1.40722,15
27/6/2026,3:8:46,SONOLENCIA,0.209598,20
27/6/2026,3:8:50,SONOLENCIA,0.206362,20
27/6/2026,3:8:55,BOCEJO,0.128032,25
27/6/2026,3:8:59,SONOLENCIA,0.194306,20
27/6/2026,3:9:4,CABECA_BAIXA,1.31688,15
27/6/2026,3:9:4,SONOLENCIA,0.198872,20
27/6/2026,3:9:16,SONOLENCIA,0.202996,20
27/6/2026,3:9:43,CABECA_BAIXA,1.58243,15
27/6/2026,3:9:52,SONOLENCIA,0.201532,20
27/6/2026,3:10:4,CABECA_BAIXA,1.61399,15
27/6/2026,3:24:17,SONOLENCIA,0.145746,20
27/6/2026,3:24:24,BOCEJO,0.179406,25
27/6/2026,3:24:29,BOCEJO,0.0450641,25
27/6/2026,3:24:43,SONOLENCIA,0.132517,20
27/6/2026,3:24:47,CABECA_BAIXA,1.31804,15
27/6/2026,3:24:48,BOCEJO,0.0437932,25
27/6/2026,3:24:52,CABECA_BAIXA,1.33593,15
27/6/2026,3:24:59,BOCEJO,0.0733846,25
27/6/2026,3:25:6,CABECA_BAIXA,1.53627,15
27/6/2026,3:29:26,SONOLENCIA,0.126076,20
27/6/2026,3:29:33,SONOLENCIA,0.139366,20
27/6/2026,3:29:40,BOCEJO,0.197295,25
27/6/2026,3:29:41,SONOLENCIA,0.192757,20
27/6/2026,3:29:52,BOCEJO,0.19374,25
27/6/2026,3:30:0,SONOLENCIA,0.217959,20
27/6/2026,3:30:8,CABECA_BAIXA,1.38264,15
27/6/2026,3:30:37,CABECA_BAIXA,1.29519,15
27/6/2026,3:30:38,SONOLENCIA,0.21945,20
27/6/2026,3:30:49,SONOLENCIA,0.117612,20
27/6/2026,3:30:50,BOCEJO,0.0563395,25
27/6/2026,3:31:2,BOCEJO,0.138128,25
27/6/2026,3:31:10,CABECA_BAIXA,1.28145,15
27/6/2026,3:31:22,CABECA_BAIXA,0.920282,15
27/6/2026,3:31:57,SONOLENCIA,0.15155,20
27/6/2026,3:31:59,BOCEJO,0.0835933,25
27/6/2026,3:32:5,SONOLENCIA,0.143874,20
27/6/2026,3:32:5,BOCEJO,0.0637733,25
27/6/2026,3:32:13,SONOLENCIA,0.151693,20
27/6/2026,3:32:14,BOCEJO,0.0548638,25
27/6/2026,3:32:20,SONOLENCIA,0.133852,20
27/6/2026,3:32:20,BOCEJO,0.0523058,25
27/6/2026,3:32:24,CABECA_BAIXA,1.12211,15
27/6/2026,3:32:43,SONOLENCIA,0.153047,20
27/6/2026,3:32:46,BOCEJO,0.0543538,25
27/6/2026,3:32:51,SONOLENCIA,0.138971,20
27/6/2026,3:32:57,BOCEJO,0.0673953,25
27/6/2026,3:33:1,SONOLENCIA,0.183143,20
27/6/2026,3:33:7,CABECA_BAIXA,1.3733,15
27/6/2026,3:33:14,CABECA_BAIXA,0.943414,15
27/6/2026,3:33:15,BOCEJO,0.0599396,25
27/6/2026,3:33:42,BOCEJO,0.131138,25
7/7/2026,12:41:46,BOCEJO,0.351086,25
7/7/2026,12:41:49,SONOLENCIA,0.213225,20
7/7/2026,12:41:53,CABECA_BAIXA,1.0792,15
7/7/2026,12:41:56,CABECA_BAIXA,1.39918,15
7/7/2026,12:42:4,CABECA_BAIXA,1.43579,15
7/7/2026,12:42:11,CABECA_BAIXA,1.05357,15
7/7/2026,12:42:30,SONOLENCIA,0.19406,20
7/7/2026,12:42:33,CABECA_BAIXA,1.30461,15
7/7/2026,12:42:56,CABECA_BAIXA,1.28073,15
7/7/2026,12:43:21,CABECA_BAIXA,1.14035,15
7/7/2026,12:46:28,SONOLENCIA,0.215849,20
7/7/2026,12:46:45,SONOLENCIA,0.198776,20
7/7/2026,12:46:56,BOCEJO,0.355862,25
7/7/2026,12:47:7,CABECA_BAIXA,1.427,15
7/7/2026,12:47:18,CABECA_BAIXA,1.31266,15
7/7/2026,12:47:36,CABECA_BAIXA,1.48413,15
7/7/2026,12:47:54,CABECA_BAIXA,1.55474,15
7/7/2026,12:48:6,CABECA_BAIXA,1.56047,15
7/7/2026,12:48:11,CABECA_BAIXA,1.34008,15
7/7/2026,15:54:37,SONOLENCIA,0.265566,20
7/7/2026,15:54:40,CABECA_BAIXA,1.39265,15
7/7/2026,15:54:52,SONOLENCIA,0.211214,20
7/7/2026,15:54:55,BOCEJO,0.197462,25
7/7/2026,15:55:1,SONOLENCIA,0.228462,20
7/7/2026,15:55:3,BOCEJO,0.299624,25
7/7/2026,15:55:9,SONOLENCIA,0.251729,20
7/7/2026,15:55:24,BOCEJO,0.314046,25
7/7/2026,15:55:28,SONOLENCIA,0.263841,20
7/7/2026,15:55:34,SONOLENCIA,0.247705,20
7/7/2026,15:55:40,CABECA_BAIXA,1.31327,15
7/7/2026,15:55:43,CABECA_BAIXA,1.2077,15
7/7/2026,15:56:0,CABECA_BAIXA,1.18636,15
7/7/2026,15:56:4,CABECA_BAIXA,1.33169,15
7/7/2026,15:56:12,CABECA_BAIXA,1.08489,15
7/7/2026,15:56:18,SONOLENCIA,0.215115,20
7/7/2026,15:56:30,SONOLENCIA,0.21132,20
7/7/2026,15:56:40,SONOLENCIA,0.21723,20
7/7/2026,15:56:48,SONOLENCIA,0.205133,20
7/7/2026,15:57:5,BOCEJO,0.328165,25
7/7/2026,15:57:25,SONOLENCIA,0.255874,20
7/7/2026,15:57:25,BOCEJO,0.192923,25
7/7/2026,15:57:39,SONOLENCIA,0.252039,20
7/7/2026,15:57:51,BOCEJO,0.276265,25
7/7/2026,15:57:53,SONOLENCIA,0.238711,20
7/7/2026,15:57:59,SONOLENCIA,0.244442,20
7/7/2026,15:58:51,SONOLENCIA,0.234976,20
7/7/2026,15:58:57,SONOLENCIA,0.203726,20
7/7/2026,15:59:5,CABECA_BAIXA,1.15541,15
7/7/2026,15:59:30,SONOLENCIA,0.255354,20
7/7/2026,16:11:54,SONOLENCIA,0.237903,20
7/7/2026,16:11:55,CABECA_BAIXA,1.58105,15
7/7/2026,16:12:6,CABECA_BAIXA,1.56188,15
7/7/2026,16:12:29,SONOLENCIA,0.227294,20
7/7/2026,16:12:35,CABECA_BAIXA,1.49523,15
7/7/2026,16:12:38,SONOLENCIA,0.253303,20
7/7/2026,16:12:40,CABECA_BAIXA,1.5805,15
7/7/2026,16:12:44,CABECA_BAIXA,1.46462,15
7/7/2026,16:12:50,CABECA_BAIXA,1.0287,15
7/7/2026,16:12:55,SONOLENCIA,0.235371,20
7/7/2026,16:13:0,BOCEJO,0.314718,25
7/7/2026,16:13:49,CABECA_BAIXA,1.29522,15
7/7/2026,16:14:2,CABECA_BAIXA,1.3795,15
7/7/2026,16:14:10,CABECA_BAIXA,1.25868,15
7/7/2026,16:14:18,CABECA_BAIXA,1.04465,15
7/7/2026,16:14:23,CABECA_BAIXA,1.44521,15
7/7/2026,16:14:30,CABECA_BAIXA,1.56423,15
7/7/2026,16:24:58,CABECA_BAIXA,1.07423,25
7/7/2026,16:25:12,BOCEJO,0.30213,25
7/7/2026,16:27:9,BOCEJO,0.359716,25
7/7/2026,16:27:35,CABECA_BAIXA,1.01482,25
7/7/2026,16:27:42,CABECA_BAIXA,0.940487,25
7/7/2026,16:33:39,SONOLENCIA,0.218247,20
7/7/2026,16:33:50,BOCEJO,0.289162,25
7/7/2026,16:34:54,CABECA_BAIXA,1.04843,25
